"species","year","doy","lat","lon","elevation","temperature"
"Geum montanum",2007,175,47.27,14.36,1860,4.05000000000003
"Geum montanum",2019,127,34.05,-118.27,NA,15.6012195121952
"Geum montanum",1941,201,46.4,7.59,2295,0.150000000000032
"Geum montanum",1978,189,46.25,8.01,2182,1.29677419354842
"Geum montanum",1946,197,45.99,7.75,2605,0.230645161290356
"Geum montanum",1974,153,46.21,7.87,2126,3.71521739130438
"Geum montanum",1946,187,46.1,7.39,2004,3.26290322580649
"Geum montanum",1953,144,46.21,7.87,2078,3.46382113821142
"Geum montanum",1948,NA,46.12,7.93,1706,4.34354838709681
"Geum montanum",1948,184,46.1,7.93,2107,4.35645161290326
"Geum montanum",1979,154,46.29,7.78,1319,6.23369565217395
"Geum montanum",1957,207,46.02,7.43,2860,-1.63709677419351
"Geum montanum",2005,223,46.18,7.69,2081,1.67580645161293
"Geum montanum",1991,185,46.39,8.05,2305,6.27258064516133
"Geum montanum",1976,196,46.54,10.43,2503,0.508064516129064
"Geum montanum",1952,167,46,7.75,2239,3.57282608695656
"Geum montanum",2005,219,46.14,7.95,2347,2.72419354838713
"Geum montanum",1985,175,46.03,7.21,2120,4.20322580645165
"Geum montanum",1949,157,46.2,7.86,2047,4.13804347826091
"Geum montanum",1981,230,46.09,7.9,2451,-1.4596774193548
"Geum montanum",1982,180,46.11,7.64,2020,5.66290322580649
"Geum montanum",1982,182,46.14,7.59,2551,0.596774193548425
"Geum montanum",1950,221,46.08,7.95,2405,2.8677419354839
"Geum montanum",1982,181,46.15,7.64,NA,2.94838709677422
"Geum montanum",2005,214,46.02,7.73,2594,2.31451612903229
"Geum montanum",1948,149,46.1,7.9,2507,1.40000000000003
"Geum montanum",1985,175,46.03,7.21,2120,4.20322580645165
"Geum montanum",1945,203,46.09,7.94,2343,-0.645161290322547
"Geum montanum",2018,171,47.78,14.32,1880,5.77391304347829
"Geum montanum",1961,225,46.1,7.59,2500,-2.87741935483867
"Geum montanum",2018,132,47.21,15.07,1525,7.88478260869569
"Geum montanum",1988,176,46.64,9.53,1980,3.79565217391308
"Geum montanum",1955,179,47.73,15.71,NA,4.87934782608699
"Geum montanum",1955,179,47.73,15.71,1600,4.87934782608699
"Geum montanum",1998,182,46.88,10.71,2500,3.241935483871
"Geum montanum",1965,180,47.53,14.97,1400,5.56413043478264
"Geum montanum",2005,210,46.73,10.19,2050,1.80806451612907
"Geum montanum",2005,208,46.73,10.13,2690,-0.630645161290294
"Geum montanum",1960,130,46.85,9.27,1500,3.129674796748
"Geum montanum",1985,193,46.96,10.37,1940,3.03548387096778
"Geum montanum",1946,170,46.63,9.75,1362,8.28064516129036
"Geum montanum",2005,193,46.49,9.22,2260,0.927419354838745
"Geum montanum",1985,193,46.96,10.37,1940,3.03548387096778
"Geum montanum",1984,207,46.75,9.55,1675,3.1686991869919
"Geum montanum",1981,168,46.79,10.17,2200,0.853225806451645
"Geum montanum",2005,181,46.64,10.2,2150,2.8177419354839
"Geum montanum",1978,192,46.81,10.14,2230,0.983870967741973
"Geum montanum",1985,193,46.96,10.37,1940,3.03548387096778
"Geum montanum",1984,212,46.74,9.6,NA,-3.47520325203249
"Geum montanum",2005,178,46.66,10.13,2330,1.5661290322581
"Geum montanum",1964,163,46.6,9.4,1870,4.34430894308947
"Geum montanum",2005,190,46.61,8.69,2380,1.92741935483874
"Geum montanum",2005,229,46.64,9,2160,2.72419354838714
"Geum montanum",1986,167,46.45,9.58,2126,-0.736991869918667
"Geum montanum",1978,192,46.81,10.13,2230,-1.3338709677419
"Geum montanum",1970,177,46.64,10.31,2160,1.54674796747971
"Geum montanum",1980,NA,46.86,9.84,2300,-0.307723577235733
"Geum montanum",1979,187,46.55,10.43,NA,0.2684782608696
"Geum montanum",1945,195,46.58,9.84,2313,2.55161290322584
"Geum montanum",1973,201,46.54,10.43,2502,0.476829268292718
"Geum montanum",1980,186,46.79,9.91,1933,0.515853658536619
"Geum montanum",2005,192,46.48,9.15,2160,2.48548387096778
"Geum montanum",1977,183,46.82,9.85,1710,3.75406504065044
"Geum montanum",1985,193,46.96,10.37,1940,3.03548387096778
"Geum montanum",1945,194,46.58,9.78,1930,3.76451612903229
"Geum montanum",1959,175,46.87,9.24,2100,0.145934959349626
"Geum montanum",1986,166,46.74,9.38,1883,2.34349593495939
"Geum montanum",2011,183,46.75,8.83,2310,-0.893089430894272
"Trifolium alpinum",2006,219,46.25,8.04,2082,4.28821138211385
"Trifolium alpinum",1946,197,46.13,7.94,1866,7.041935483871
"Trifolium alpinum",1978,189,46.25,8.01,2182,1.29677419354842
"Trifolium alpinum",1952,204,46.03,7.97,2395,2.48586956521743
"Trifolium alpinum",1944,194,46,7.75,2395,2.28089430894312
"Trifolium alpinum",1981,192,46.25,8.03,1995,1.18387096774197
"Trifolium alpinum",1986,188,46.56,8.38,2038,1.80528455284556
"Trifolium alpinum",1948,161,46.11,7.93,1810,4.42903225806455
"Trifolium alpinum",1949,157,46.2,7.86,2047,4.13804347826091
"Trifolium alpinum",2012,185,46.02,7.47,2266,2.78658536585369
"Trifolium alpinum",1960,196,46.25,8.02,2095,0.821544715447192
"Trifolium alpinum",1986,188,46.56,8.38,2038,1.80528455284556
"Trifolium alpinum",1981,223,46.38,8.02,2049,0.987096774193584
"Trifolium alpinum",1982,180,46.11,7.64,2020,5.66290322580649
"Trifolium alpinum",1944,206,46.8,10.22,2206,1.26382113821141
"Trifolium alpinum",1946,198,46.24,7.99,2251,2.48387096774197
"Trifolium alpinum",1981,196,46.25,8.02,2038,0.414516129032295
"Trifolium alpinum",1950,179,46.22,7.6,1671,2.71451612903229
"Trifolium alpinum",1982,181,46.15,7.64,2265,2.94838709677422
"Trifolium alpinum",1948,152,46.11,7.93,1755,4.42903225806455
"Trifolium alpinum",1952,159,46.12,7.93,1960,5.67826086956525
"Trifolium alpinum",2018,222,46.86,12.36,2024,3.5989130434783
"Trifolium alpinum",2005,200,46.73,10.19,2100,1.80806451612907
"Trifolium alpinum",2005,190,46.62,8.69,2250,2.08870967741938
"Trifolium alpinum",1964,170,46.61,9.4,1830,4.229674796748
"Trifolium alpinum",2005,193,46.49,9.22,2270,0.927419354838745
"Trifolium alpinum",1945,135,46.78,9.91,NA,2.0161290322581
"Trifolium alpinum",1961,191,46.49,9.92,1500,-0.222580645161253
"Trifolium alpinum",1984,211,46.75,9.58,1885,0.70528455284556
"Trifolium alpinum",1983,184,46.55,9.23,1900,1.21885245901643
"Trifolium alpinum",2012,169,46.56,9.46,2130,2.65975609756101
"Trifolium alpinum",1982,185,46.65,9.2,NA,5.74838709677423
"Trifolium alpinum",1954,202,46.59,8.78,NA,-0.7963414634146
"Trifolium alpinum",2005,190,46.62,8.69,2250,2.08870967741938
"Trifolium alpinum",1973,201,46.54,10.43,NA,0.476829268292718
"Trifolium alpinum",2005,208,46.73,10.13,2600,-0.630645161290294
"Trifolium alpinum",1949,202,46.65,9.83,1860,2.71739130434786
"Trifolium alpinum",1949,196,46.81,10.24,2400,1.07717391304351
"Trifolium alpinum",2014,243,46.82,9.83,2150,0.154065040650444
"Trifolium alpinum",2005,203,46.54,9.05,2390,-0.643548387096735
"Trifolium alpinum",1981,236,46.63,8.67,NA,-2.29032258064513
"Trifolium alpinum",2005,228,46.62,9,2250,1.95000000000003
"Campanula cochleariifolia",2005,188,59.82,10.44,NA,12.591935483871
"Campanula cochleariifolia",2000,182,59.64,10.85,90,10.1304878048781
"Campanula cochleariifolia",2005,211,59.82,10.44,NA,12.591935483871
"Campanula cochleariifolia",2001,209,47.63,11.35,789,9.73780487804881
"Campanula cochleariifolia",1999,201,47.6,13.97,1870,5.13699186991873
"Campanula cochleariifolia",2001,197,47.65,14.7,590,10.9036585365854
"Campanula cochleariifolia",2001,211,47.75,15.55,1000,8.38983739837402
"Campanula cochleariifolia",2002,189,47.58,14,1180,7.9256097560976
"Campanula cochleariifolia",2008,159,47.52,13.94,765,9.26544715447158
"Campanula cochleariifolia",1953,200,47.6,13.99,1630,4.49471544715451
"Campanula cochleariifolia",1956,197,47.54,14.53,1320,4.63943089430898
"Campanula cochleariifolia",1954,217,47.53,14.54,1190,5.76382113821141
"Campanula cochleariifolia",1956,214,47.37,13.82,1329,5.73455284552848
"Campanula cochleariifolia",1977,219,47.61,14.29,890,6.08495934959353
"Campanula cochleariifolia",1985,179,47.58,14.52,620,11.2564516129033
"Campanula cochleariifolia",1971,203,47.45,15.65,900,9.89227642276426
"Campanula cochleariifolia",1977,210,47.31,14.38,1070,4.89634146341466
