species,filename,year,month,day,eventDate,doy,decimalLatitude,decimalLongitude,elevation,elevationAccuracy,coordinateUncertaintyInMeters,verbatimElevation,n_leaves,area,perimeter,bbox_min_long_side,bbox_min_short_side,aspect_ratio,circularity,convexity,concavity
Geum montanum,1930142258,1902,6,10,1902-06-10,161,40.862289,-73.877023,NA,NA,NA,NA,17,0.52,5.14,1.58,0.71,0.871795,0.28267,0.80495,0.19505
Geum montanum,1935690640,2007,6,24,2007-06-24,175,47.26722,14.35889,1860,NA,100,NA,37,0.2,2.57,0.84,0.53,0.978723,0.497239,0.886348,0.113652
Geum montanum,2575267071,1921,7,15,1921-07-15T00:00,196,46.809885,9.824985,1900,NA,319,1900m,10,1.83,7.664999999999999,2.9450000000000003,1.08,0.656182,0.341495,0.8673915,0.1326085
Geum montanum,2575267818,1895,7,2,1895-07-02T00:00,183,46.790531,9.767252,2654,NA,NA,2654 m,4,1.345,7.48,1.835,1.325,0.9860535,0.369465,0.8751105,0.12488950000000001
Geum montanum,2575267903,1910,5,30,1910-05-30T00:00,150,46.743051,9.839502,1800,NA,NA,1800 m,11,2.89,9.37,2.51,1.74,1.036866,0.486043,0.913266,0.086734
Geum montanum,2575268357,1913,8,3,1913-08-03T00:00,215,46.72242,9.871449,2650,NA,NA,2650m,12,2.075,6.635,1.8599999999999999,1.5699999999999998,1.179779,0.5515915,0.924668,0.075332
Geum montanum,2575268446,1910,5,12,1910-05-12T00:00,132,46.803876,9.816356,1900,NA,250,1900m,1,3.54,9.83,2.29,2.23,1.038922,0.460099,0.894399,0.105601
Geum montanum,2575268713,1879,7,NA,1879-07,NA,46.914227,9.741272,NA,NA,8095,NA,21,2.47,10.71,2.4,1.91,1.05641,0.41411,0.874448,0.125552
Geum montanum,2575269147,1893,7,25,1893-07-25T00:00,206,46.707405,9.89604,2681,81,348,2600-2762m,1,0.47,3.23,1.2,0.58,1.970588,0.56602,0.950428,0.049572
Geum montanum,2598800798,1861,7,5,1861-07-05,186,46.453435,5.625,1800,0,376344,1800 m,35,1.13,5.89,1.73,1.15,1.0625,0.458576,0.876438,0.123562
Geum montanum,3053475111,2019,5,7,2019-05-07,127,34.05429,-118.26503,NA,NA,300,NA,21,2.34,11.36,2.98,1.44,0.876056,0.205755,0.735889,0.264111
Geum montanum,3383278501,1870,NA,NA,1870,NA,46.156388,7.078889,1982,NA,NA,NA,11,2.81,9.63,2.5,1.81,0.840491,0.413255,0.868259,0.131741
Geum montanum,3383278565,1941,7,20,1941-07-20T00:00,201,46.395,7.588358,2295,NA,NA,NA,10,2.05,7.25,2.195,1.315,0.9435745,0.470742,0.8891825,0.1108175
Geum montanum,3383278915,1978,7,8,1978-07-08T00:00,189,46.251666,8.009444,2182,NA,NA,NA,12,3.41,9.129999999999999,2.59,1.9,0.9912785,0.49664450000000004,0.89895100000000006,0.101049
Geum montanum,3383278952,1946,7,16,1946-07-16T00:00,197,45.990555,7.753889,2605,NA,NA,2610 m,5,1.48,6.2,1.82,1.33,1.058824,0.446562,0.864228,0.135772
Geum montanum,3383279005,1907,7,17,1907-07-17T00:00,198,45.893333,7.186111,2022,NA,NA,2000 m,18,1.625,6.135,1.68,1.335,0.91317,0.47941900000000004,0.9018915000000001,0.0981085
Geum montanum,3383279025,1974,6,2,1974-06-02T00:00,153,46.2075,7.868611,2126,NA,NA,NA,11,1.68,6.98,2.03,1.49,1.011583,0.431592,0.88918,0.11082
Geum montanum,3383279502,1870,7,6,1870-07-06T00:00,187,45.869125,7.152435,2373,NA,826,NA,29,1.9,7.67,2.14,1.54,0.937984,0.426178,0.866253,0.133747
